speciesA,speciesB,RI,,,
Quercus franchetii,Quercus oxyodon,1,,,
Quercus franchetii,Quercus griffithii,1,,,
Quercus phillyreoides,Quercus championii,1,,,
Quercus phillyreoides,Quercus delavayi,1,,,
Quercus phillyreoides,Quercus kerrii,1,,,
Quercus phillyreoides,Quercus schottkyana,1,,,
Quercus phillyreoides,Quercus oxyodon,1,,,
Quercus phillyreoides,Quercus myrsinifolia,1,,,
Quercus phillyreoides,Quercus salicina,1,,,
Quercus phillyreoides,Quercus acuta,1,,,
Quercus phillyreoides,Quercus sessilifolia,1,,,
Quercus phillyreoides,Quercus blakei,1,,,
Quercus phillyreoides,Quercus pachyloma,1,,,
Quercus phillyreoides,Quercus texana,1,,,
Quercus phillyreoides,Quercus pagoda,1,,,
Quercus phillyreoides,Quercus falcata,1,,,
Quercus phillyreoides,Quercus costaricensis,1,,,
Quercus phillyreoides,Quercus mongolica,1,,,
Quercus phillyreoides,Quercus dentata,1,,,
Quercus phillyreoides,Quercus serrata,1,,,
Quercus phillyreoides,Quercus griffithii,1,,,
Quercus phillyreoides,Quercus aliena,1,,,
Quercus phillyreoides,Quercus fabri,1,,,
Quercus phillyreoides,Quercus robur,1,,,
Quercus phillyreoides,Quercus canariensis,1,,,
Quercus phillyreoides,Quercus lusitanica,1,,,
Quercus phillyreoides,Quercus faginea,1,,,
Quercus phillyreoides,Quercus macranthera,1,,,
Quercus phillyreoides,Quercus pyrenaica,1,,,
Quercus phillyreoides,Quercus infectoria,1,,,
Quercus phillyreoides,Quercus boissieri,1,,,
Quercus phillyreoides,Quercus pubescens,1,,,
Quercus phillyreoides,Quercus frainetto,1,,,
Quercus baronii,Quercus championii,1,,,
Quercus baronii,Quercus schottkyana,1,,,
Quercus baronii,Quercus oxyodon,1,,,
Quercus baronii,Quercus falcata,1,,,
Quercus baronii,Quercus griffithii,1,,,
Quercus rotundifolia,Quercus texana,1,,,
Quercus rotundifolia,Quercus pagoda,1,,,
Quercus rotundifolia,Quercus falcata,1,,,
Quercus rotundifolia,Quercus costaricensis,1,,,
Quercus rotundifolia,Quercus canariensis,1,,,
Quercus rotundifolia,Quercus lusitanica,1,,,
Quercus rotundifolia,Quercus faginea,1,,,
Quercus rotundifolia,Quercus pyrenaica,1,,,
Quercus rotundifolia,Quercus frainetto,1,,,
Quercus ilex,Quercus texana,1,,,
Quercus ilex,Quercus pagoda,1,,,
Quercus ilex,Quercus falcata,1,,,
Quercus ilex,Quercus costaricensis,1,,,
Quercus ilex,Quercus petraea,1,,,
Quercus ilex,Quercus robur,1,,,
Quercus ilex,Quercus canariensis,1,,,
Quercus ilex,Quercus lusitanica,1,,,
Quercus ilex,Quercus faginea,1,,,
Quercus ilex,Quercus macranthera,1,,,
Quercus ilex,Quercus pyrenaica,1,,,
Quercus ilex,Quercus pubescens,1,,,
Quercus ilex,Quercus frainetto,1,,,
Quercus coccifera,Quercus texana,1,,,
Quercus coccifera,Quercus pagoda,1,,,
Quercus coccifera,Quercus falcata,1,,,
Quercus coccifera,Quercus costaricensis,1,,,
Quercus coccifera,Quercus robur,1,,,
Quercus coccifera,Quercus canariensis,1,,,
Quercus coccifera,Quercus lusitanica,1,,,
Quercus coccifera,Quercus faginea,1,,,
Quercus coccifera,Quercus macranthera,1,,,
Quercus coccifera,Quercus pyrenaica,1,,,
Quercus coccifera,Quercus pubescens,1,,,
Quercus coccifera,Quercus frainetto,1,,,
Quercus engleriana,Quercus championii,1,,,
Quercus engleriana,Quercus schottkyana,1,,,
Quercus engleriana,Quercus oxyodon,1,,,
Quercus engleriana,Quercus blakei,1,,,
Quercus engleriana,Quercus pachyloma,1,,,
Quercus engleriana,Quercus falcata,1,,,
Quercus engleriana,Quercus griffithii,1,,,
Quercus engleriana,Quercus fabri,1,,,
Quercus semecarpifolia,Quercus championii,1,,,
Quercus semecarpifolia,Quercus delavayi,1,,,
Quercus semecarpifolia,Quercus kerrii,1,,,
Quercus semecarpifolia,Quercus schottkyana,1,,,
Quercus semecarpifolia,Quercus oxyodon,1,,,
Quercus semecarpifolia,Quercus blakei,1,,,
Quercus semecarpifolia,Quercus pachyloma,1,,,
Quercus semecarpifolia,Quercus texana,1,,,
Quercus semecarpifolia,Quercus pagoda,1,,,
Quercus semecarpifolia,Quercus falcata,1,,,
Quercus semecarpifolia,Quercus griffithii,1,,,
Quercus semecarpifolia,Quercus fabri,1,,,
Quercus pseudosemecarpifolia,Quercus delavayi,1,,,
Quercus pseudosemecarpifolia,Quercus schottkyana,1,,,
Quercus pseudosemecarpifolia,Quercus oxyodon,1,,,
Quercus pseudosemecarpifolia,Quercus falcata,1,,,
Quercus pseudosemecarpifolia,Quercus griffithii,1,,,
Quercus monimotricha,Quercus delavayi,1,,,
Quercus monimotricha,Quercus schottkyana,1,,,
Quercus monimotricha,Quercus oxyodon,1,,,
Quercus monimotricha,Quercus falcata,1,,,
Quercus monimotricha,Quercus griffithii,1,,,
Quercus gujavifolia,Quercus delavayi,1,,,
Quercus gujavifolia,Quercus schottkyana,1,,,
Quercus gujavifolia,Quercus oxyodon,1,,,
Quercus gujavifolia,Quercus falcata,1,,,
Quercus gujavifolia,Quercus griffithii,1,,,
Quercus longispica,Quercus delavayi,1,,,
Quercus longispica,Quercus schottkyana,1,,,
Quercus longispica,Quercus oxyodon,1,,,
Quercus longispica,Quercus falcata,1,,,
Quercus longispica,Quercus griffithii,1,,,
Quercus championii,Quercus falcata,1,,,
Quercus championii,Quercus griffithii,1,,,
Quercus championii,Quercus aliena,1,,,
Quercus championii,Quercus fabri,1,,,
Quercus delavayi,Quercus griffithii,1,,,
Quercus kerrii,Quercus griffithii,1,,,
Quercus schottkyana,Quercus falcata,1,,,
Quercus schottkyana,Quercus griffithii,1,,,
