speciesA,speciesB,author,datatype,hybrid,exclude,notes,overlap,records
phillyreoides,canariensis,sproc,sproc,0,,,,
phillyreoides,lusitanica,sproc,sproc,0,,,,
phillyreoides,faginea,sproc,sproc,0,,,,
phillyreoides,macranthera,sproc,sproc,0,,,,
phillyreoides,pyrenaica,sproc,sproc,0,,,,
phillyreoides,infectoria,sproc,sproc,0,,,,
phillyreoides,boissieri,sproc,sproc,0,,,,
phillyreoides,pubescens,sproc,sproc,0,,,,
phillyreoides,frainetto,sproc,sproc,0,,,,
baronii,championii,sproc,sproc,0,,,,
baronii,schottkyana,sproc,sproc,0,,,,
baronii,oxyodon,sproc,sproc,0,,,,
baronii,falcata,sproc,sproc,0,,,,
baronii,griffithii,sproc,sproc,0,,,,
rotundifolia,texana,sproc,sproc,0,,,,
rotundifolia,pagoda,sproc,sproc,0,,,,
rotundifolia,falcata,sproc,sproc,0,,,,
rotundifolia,costaricensis,sproc,sproc,0,,,,
rotundifolia,canariensis,sproc,sproc,0,,,,
rotundifolia,lusitanica,sproc,sproc,0,,,,
rotundifolia,faginea,sproc,sproc,0,,,,
rotundifolia,pyrenaica,sproc,sproc,0,,,,
rotundifolia,frainetto,sproc,sproc,0,,,,
ilex,texana,sproc,sproc,0,,,,
ilex,pagoda,sproc,sproc,0,,,,
ilex,falcata,sproc,sproc,0,,,,
ilex,costaricensis,sproc,sproc,0,,,,
ilex,petraea,sproc,sproc,0,,,,
ilex,robur,sproc,sproc,0,,,,
ilex,canariensis,sproc,sproc,0,,,,
ilex,lusitanica,sproc,sproc,0,,,,
ilex,faginea,sproc,sproc,0,,,,
ilex,macranthera,sproc,sproc,0,,,,
ilex,pyrenaica,sproc,sproc,0,,,,
ilex,pubescens,sproc,sproc,0,,,,
ilex,frainetto,sproc,sproc,0,,,,
coccifera,texana,sproc,sproc,0,,,,
coccifera,pagoda,sproc,sproc,0,,,,
coccifera,falcata,sproc,sproc,0,,,,
coccifera,costaricensis,sproc,sproc,0,,,,
coccifera,robur,sproc,sproc,0,,,,
coccifera,canariensis,sproc,sproc,0,,,,
coccifera,lusitanica,sproc,sproc,0,,,,
coccifera,faginea,sproc,sproc,0,,,,
coccifera,macranthera,sproc,sproc,0,,,,
coccifera,pyrenaica,sproc,sproc,0,,,,
coccifera,pubescens,sproc,sproc,0,,,,
coccifera,frainetto,sproc,sproc,0,,,,
engleriana,championii,sproc,sproc,0,,,,
engleriana,schottkyana,sproc,sproc,0,,,,
engleriana,oxyodon,sproc,sproc,0,,,,
engleriana,blakei,sproc,sproc,0,,,,
